Sale,por_OS,por_NON,recc,avg_no_it,age,dis,diff_reg,tax,bk,lowstat,Median_s
0.63,18,2.31,0,6.575,65.2,4.09,1,296,396.9,4.98,24
2.73,0,7.07,0,6.421,78.9,4.9671,2,242,396.9,9.14,21.6
2.73,0,7.07,0,7.185,61.1,4.9671,2,242,392.83,4.03,34.7
3.24,0,2.18,0,6.998,45.8,6.0622,3,222,394.63,2.94,33.4
6.91,0,2.18,0,7.147,54.2,6.0622,3,222,396.9,5.33,36.2
2.99,0,2.18,0,6.43,58.7,6.0622,3,222,394.12,5.21,28.7
8.83,12.5,7.87,0,6.012,66.6,5.5605,5,311,395.6,12.43,22.9
14.46,12.5,7.87,0,6.172,96.1,5.9505,5,311,396.9,19.15,27.1
21.12,12.5,7.87,0,5.631,100,6.0821,5,311,386.63,29.93,16.5
17,12.5,7.87,0,6.004,85.9,6.5921,5,311,386.71,17.1,18.9
22.49,12.5,7.87,0,6.377,94.3,6.3467,5,311,392.52,20.45,15
11.75,12.5,7.87,0,6.009,82.9,6.2267,5,311,396.9,13.27,18.9
9.38,12.5,7.87,0,5.889,39,5.4509,5,311,390.5,15.71,21.7
62.98,0,8.14,0,5.949,61.8,4.7075,4,307,396.9,8.26,20.4
63.8,0,8.14,0,6.096,84.5,4.4619,4,307,380.02,10.26,18.2
62.74,0,8.14,0,5.834,56.5,4.4986,4,307,395.62,8.47,19.9
10.539,0,8.14,0,5.935,29.3,4.4986,4,307,386.85,6.58,23.1
78.42,0,8.14,0,5.99,81.7,4.2579,4,307,386.75,14.67,17.5
80.27,0,8.14,0,5.456,36.6,3.7965,4,307,288.99,11.69,20.2
72.58,0,8.14,0,5.727,69.5,3.7965,4,307,390.95,11.28,18.2
12.518,0,8.14,0,5.57,98.1,3.7979,4,307,376.57,21.02,13.6
85.2,0,8.14,0,5.965,89.2,4.0123,4,307,392.53,13.83,19.6
12.325,0,8.14,0,6.142,91.7,3.9769,4,307,396.9,18.72,15.2
98.84,0,8.14,0,5.813,100,4.0952,4,307,394.54,19.88,14.5
75.03,0,8.14,0,5.924,94.1,4.3996,4,307,394.33,16.3,15.6
84.05,0,8.14,0,5.599,85.7,4.4546,4,307,303.42,16.51,13.9
67.19,0,8.14,0,5.813,90.3,4.682,4,307,376.88,14.81,16.6
95.58,0,8.14,0,6.047,88.8,4.4534,4,307,306.38,17.28,14.8
77.3,0,8.14,0,6.495,94.4,4.4547,4,307,387.94,12.8,18.4
10.025,0,8.14,0,6.674,87.3,4.239,4,307,380.23,11.98,21
11.308,0,8.14,0,5.713,94.1,4.233,4,307,360.17,22.6,12.7
13.547,0,8.14,0,6.072,100,4.175,4,307,376.73,13.04,14.5
13.88,0,8.14,0,5.95,82,3.99,4,307,232.6,27.71,13.2
11.517,0,8.14,0,5.701,95,3.7872,4,307,358.77,18.35,13.1
16.128,0,8.14,0,6.096,96.9,3.7598,4,307,248.31,20.34,13.5
6.42,0,5.96,0,5.933,68.2,3.3603,5,279,396.9,9.68,18.9
9.74,0,5.96,0,5.841,61.4,3.3779,5,279,377.56,11.41,20
8.01,0,5.96,0,5.85,41.5,3.9342,5,279,396.9,8.77,21
17.51,0,5.96,0,5.966,30.2,3.8473,5,279,393.43,10.13,24.7
